language,total_repos,top_repo_name,top_repo_stars,top_repo_url,top_repo_description,snapshot_date
Python,110355,NousResearch/hermes-agent,128013,https://github.com/NousResearch/hermes-agent,The agent that grows with you,2026-05-01
JavaScript,29834,affaan-m/everything-claude-code,171432,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",2026-05-01
TypeScript,49258,openclaw/openclaw,367120,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,2026-05-01
Rust,15995,ultraworkers/claw-code,189525,https://github.com/ultraworkers/claw-code,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.,2026-05-01
Go,13569,danielmiessler/Fabric,41314,https://github.com/danielmiessler/Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,2026-05-01
Java,8522,opendataloader-project/opendataloader-pdf,19844,https://github.com/opendataloader-project/opendataloader-pdf,PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.,2026-05-01
C++,14954,LadybirdBrowser/ladybird,62618,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,2026-05-01
Kotlin,5258,kavishdevar/librepods,26774,https://github.com/kavishdevar/librepods,AirPods liberated from Apple's ecosystem.,2026-05-01
Swift,4623,apple/container,26263,https://github.com/apple/container,"A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is written in Swift, and optimized for Apple silicon. ",2026-05-01
Ruby,1208,antiwork/gumroad,8995,https://github.com/antiwork/gumroad,Sell stuff and see what sticks,2026-05-01
Python,110372,NousResearch/hermes-agent,128097,https://github.com/NousResearch/hermes-agent,The agent that grows with you,2026-05-01
JavaScript,29834,affaan-m/everything-claude-code,171476,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",2026-05-01
